Name,B,W,H,Tall,Weight,Birthday,Reliablity
☆HOSHINO,,,,,,,
Cica,,,,,,,
COCO,,,,,,,
MARI,,,,,,,
MEGUMI,94,60,86,158,,,unknown
misono,80,62,90,154,48.5,,unknown
ＭＩＹＵ,,,,,,,
NANAMI,,,,,,,
Niki,,,,,,,
ＲａＭｕ,,,,,,,
SHELLY,86,61,88,164,,,unknown
SHIHO,71,55,82,154,,,unknown
ZARD,,,,,,,
あかせあかり,,,,,,,
アグネス・チャン,85,60,86,155,48,,unknown
アグネス・ラム,90,55,92,158,46,,unknown
あさいあみ,,,,,,,
あびる優,83,57,82,156,,,unknown
あまつまりな,,,,,,,
アンジェラ芽衣,,,,,,,
インリン,,,,,,,
うさまりあ,,,,,,,
えなこ,,,,,,,
おかもとまり,82,60,86,156,,,unknown
おのののか,,,,,,,
かでなれおん,,,,,,,
かとうれいこ,86,58,84,,,,unknown
カルーセル麻紀,86,60,88,157,,,unknown
キューティ鈴木,,,,,,,
キンタロー。,83,73,90,152.5,51,,unknown
くまきりあさ美,,,,,,,
くわばたりえ,85,65,95,162,,,unknown
さとう珠緒,83,57,84,156,43,,unknown
さとう里香,,,,,,,
しいなまお,,,,,,,
しほの涼,,,,,,,
シルク,86,65,89,,,,unknown
スザンヌ,85,59,88,166,45,,unknown
すほうれいこ,,,,,,,
ソニン,,,,,,,
そめやゆきこ,,,,,,,
ソンミ,77,60,89,170,,,unknown
ダーブロウ有紗,82,60,87,160,,,unknown
だいたひかる,82.5,62,80,156,46,,unknown
ダレノガレ明美,83,54,86,164,,,unknown
ちとせよしの,,,,,,,
とっきー,,,,,,,
ともさかりえ,72,56,66,168,,,unknown
トラウデン直美,83,58,88,169,,1999/04/21,
トリンドル玲奈,76,58,77,168,,,unknown
パイレーツ,,,,,,,
はしのえみ,81,57,83,155,42,,unknown
はるかぜ,,,,,,,
ビビアン・スー,85,57,85,161,45,,unknown
ほしのあき,88,56,87,165,42,,unknown
ほのか,,,,,,,
ホラン千秋,86,60,89,160,,,unknown
マギー,,,,,,,
マリエ,84,60,86,170,47,,unknown
みうらうみ,,,,,,,
みなみ,,,,,,,
みなみ鈴,,,,,,,
モーニング娘,,,,,,,
ももせもも,,,,,,,
ゆうみ,,,,,,,
ゆきぽよ,,,,,,,
ゆとり,,,,,,,
ラブリ,81,57,83,165,,,unknown
ラフルアー宮澤エマ,84,64,85,156,,,unknown
リアディゾン,,,,,,,
ローラ,82,58,86,165,,,unknown
ローラ・チャン,78,58,87,161,,,unknown
わちみなみ,,,,,,,
亜里沙,,,,,,,
阿部華也子,,,,165,,1996/06/18,
阿木燿子,88,58,87,162,,,unknown
愛衣,,,,,,,
愛川ゆず季,100,75,89,157,52.6,,unknown
愛内里菜,82,57,83,158,,,unknown
逢坂愛,,,,,,,
逢沢りな,,,,,,,
逢田梨香子,,,,,,,
芦名星,83,58,87,165,,,unknown
虻川美穂子,88,78,101,169,,,unknown
綾瀬はるか,88,61,91,165,,1985/03/24,unknown
鮎川ナオミ,,,,,,,
安めぐみ,85,60,85,160,,,unknown
安位薫,,,,,,,
安枝瞳,,,,,,,
安西ひろこ,87,59,88,157.3,,,unknown
安達祐実,,,,,,,
安田美沙子,82,62,90,162,,,unknown
安藤ニコ,,,,167,,2000/02/28,
安藤沙耶香,,,,,,,
安藤咲桜,,,,,,,
安藤遥,,,,,,,
安倍なつみ,80,54,80,152,,,unknown
安倍乙,,,,,,,
杏,82,60,88,175,52,,unknown
伊織いお,,,,,,,
伊織もえ,,,,,,,
伊唐みよ,,,,,,,
伊東紗冶子,,,,,,,
伊東美咲,83,58,87,171,,,unknown
伊藤えみ,,,,,,,
伊藤かずえ,83,58,85,168,,,unknown
伊藤さおり,93,65,92,157,,,unknown
伊藤瞳,,,,,,,
伊藤萌々香,,,,,,,
伊藤優衣,,,,,,,
伊藤裕子,80,58,86,164,48,,unknown
為近あんな,,,,,,,
井口綾子,,,,,,,
井上晴美,,,,,,,
井上清華,,,,,,1995/04/23,
井上和香,88,60,90,166,,,unknown
井森美幸,80,59,88,160,45,,unknown
井川遥,85,59,87,167,,,unknown
磯山さやか,88,60,86,155,,,unknown
一色紗江,,,,,,,
稲垣実花,,,,,,,
稲森いずみ,83,56,88,167,,,unknown
稲村亜美,86,61,88,173,,1996/01/13,
宇垣美里,,,,163,50,1991/04/16,
宇多田ヒカル,85,59,84,158,,,unknown
宇都宮まき,88,58,89,166,46,,unknown
雨宮留菜,,,,,,,
臼田あさ美,80,59,83,163,,1984/10/17,
浦えりか,,,,,,,
永井里菜,,,,,,,
永井流奈,,,,,,,
永岡真実,,,,,,,
永作博美,82,58,84,156,42,,unknown
永尾まりや,,,,,,,
衛藤美彩,,,,,,,
越智静香,,,,,,,
榎本加奈子,75,56,80,157,,,unknown
園都,,,,,,,
遠藤久美子,83,59,82,165,,,unknown
遠野なぎこ,83,58,85,164,,,unknown
遠野千夏,,,,,,,
塩川莉世,,,,,,,
塩地美澄,,,,,,,
奥菜恵,80,59,83,155,,,unknown
奥山かずさ,,,,,,,
奥仲麻琴,,,,,,,
押切もえ,82,56,84,169,,,unknown
横山ルリカ,80,62,88,168,48,,unknown
横山由依,,,,,,,
横野すみれ,,,,,,,
岡元あつこ,,,,,,,
岡江久美子,80,59,84,156,,,unknown
岡村麻純,83,57,87,160,45,,unknown
岡田サリオ,,,,,,,
岡田紗佳,,,,,,,
岡田真由香,,,,,,,
岡本夏生,82,68,84,165.4,,,unknown
岡本玲,74,56,77,157,43,,unknown
荻野目慶子,80,58,83,152,42,,unknown
乙葉,89,59,85,157,,,unknown
下村真理,,,,,,,
加賀美セイラ,85,60,87,170,50,,unknown
加治ひとみ,,,,,,,
加藤あい,86,58,88,162,,,unknown
加藤ローサ,83,58,85,160,48,,unknown
加藤夏希,83,58,85,168,45,,unknown
加藤紀子,86,60,87,164,49,,unknown
加藤玲奈,,,,,,,
夏菜,83,57,86,165,,,unknown
夏樹陽子,85,65,91,168,,,unknown
夏川純,85,59,85,160.4,,,unknown
夏帆,78,57,83,164,,,unknown
夏美,,,,,,,
夏本あさみ,,,,,,,
夏目ゆき,,,,,,,
夏目綾,,,,,,,
夏目理緒,,,,,,,
河合美智子,81,58,88,162,44,,unknown
河西智美,80,59,82.5,156,,,unknown
河中あい,,,,,,,
花井美理,,,,,,,
華原朋美,,,,,,,
華彩なな,,,,,,,
華村あすか,86,60,83,168,,1999/03/18,
海江田純子,,,,,,,
海川ひとみ,,,,,,,
階戸瑠李,,,,,,,
外岡えりか,,,,,,,
街山みほ,,,,,,,
叶姉妹,,,,,,,
叶美香,98,58,91,170,68,,unknown
管野美穂,81,54,82,158,42,,unknown
貫地谷しほり,83,58,84,156,,,unknown
間宮夕貴,,,,,,,
関根麻里,81,56,86,154,47,,unknown
関根優那,,,,,,,
関水渚,,,,159,,1998/06/05,
丸高愛実,83,60,86,164,,,unknown
丸高愛美,,,,,,,
岸明日香,,,,,,,
岩佐真悠子,,,,,,,
岩崎名美,,,,,,,
喜屋武ちあき,,,,,,,
喜多嶋舞,85,58,86,163,47,,unknown
貴島明日香,76,56,87,171,,1996/02/15,
鬼頭桃菜,,,,,,,
菊川怜,80,58,83,166,47,,unknown
菊地亜美,85,60,86,164,,,unknown
菊地凛子,82,58,85,169,47,,unknown
菊池桃子,79,59,85,161,47,,unknown
菊池麻衣子,80,56,85,160,45,,unknown
吉井怜,,,,,,,
吉岡美穂,85,59,87,169,,,unknown
吉岡里帆,,,,,,,
吉見衣世,,,,,,,
吉見早央,,,,,,,
吉高由里子,85,63,88,157,,,unknown
吉崎綾,82,58,86,,154,1996/06/03,
吉瀬美智子,80,59,86,167,,,unknown
吉川ひなの,80,57,82,168,,,unknown
吉川綾乃,,,,,,,
吉川友,,,,,,,
吉田ユウ,,,,,,,
吉田亜咲,,,,,,,
吉田朱里,,,,,,,
吉田深里,,,,,,,
吉田羊,,,,163,,,
吉田莉桜,,,,,,,
吉本多香美,,,,,,,
吉本美憂,,,,,,,
吉木りさ,80,59,88,162,44,,unknown
吉野紗香,,,,,,,
橘ゆりか,,,,,,,
橘希,,,,,,,
久慈暁子,80,58,83,166,,1994/07/13,
久住小春,,,,,,,
久松かおり,,,,,,,
久松郁実,,,,165,,1996/02/18,
久保ユリカ,,,,,,,
久宥茜,,,,,,,
宮崎香蓮,70,58,78,156,34,,unknown
宮前真樹,,,,,,,
宮沢りえ,82,60,85,167,,,unknown
